source_label,source_file,relation,target_label,target_file,confidence,context
fetchRoll(),.agents/skills/impeccable/scripts/concept-seed.mjs,calls,apiBudgetMs(),.agents/skills/impeccable/scripts/concept-seed.mjs,EXTRACTED,call
loadLocal(),.agents/skills/impeccable/scripts/concept-seed.mjs,calls,readCompositionCatalog(),.agents/skills/impeccable/scripts/lib/composition-catalog.mjs,EXTRACTED,call
loadLocal(),.agents/skills/impeccable/scripts/concept-seed.mjs,calls,readConceptCatalog(),.agents/skills/impeccable/scripts/lib/concept-catalog.mjs,EXTRACTED,call
loadLocal(),.agents/skills/impeccable/scripts/concept-seed.mjs,calls,validateConceptCatalog(),.agents/skills/impeccable/scripts/lib/concept-catalog.mjs,EXTRACTED,call
pingChosen(),.agents/skills/impeccable/scripts/concept-seed.mjs,calls,telemetryDisabled(),.agents/skills/impeccable/scripts/concept-seed.mjs,EXTRACTED,call
pingChosen(),.agents/skills/impeccable/scripts/concept-seed.mjs,calls,apiBudgetMs(),.agents/skills/impeccable/scripts/concept-seed.mjs,EXTRACTED,call
renderConceptSeed(),.agents/skills/impeccable/scripts/concept-seed.mjs,calls,loadLocal(),.agents/skills/impeccable/scripts/concept-seed.mjs,EXTRACTED,call
renderConceptSeed(),.agents/skills/impeccable/scripts/concept-seed.mjs,calls,selectApprovedChallengers(),.agents/skills/impeccable/scripts/concept-seed.mjs,EXTRACTED,call
renderConceptSeed(),.agents/skills/impeccable/scripts/concept-seed.mjs,calls,selectApprovedStagings(),.agents/skills/impeccable/scripts/concept-seed.mjs,EXTRACTED,call
renderConceptSeed(),.agents/skills/impeccable/scripts/concept-seed.mjs,calls,fetchRoll(),.agents/skills/impeccable/scripts/concept-seed.mjs,EXTRACTED,call
renderConceptSeed(),.agents/skills/impeccable/scripts/concept-seed.mjs,calls,renderStaging(),.agents/skills/impeccable/scripts/concept-seed.mjs,EXTRACTED,call
requireLocalConcepts(),.agents/skills/impeccable/scripts/concept-seed.mjs,calls,loadLocal(),.agents/skills/impeccable/scripts/concept-seed.mjs,EXTRACTED,call
selectApprovedChallengers(),.agents/skills/impeccable/scripts/concept-seed.mjs,calls,requireLocalConcepts(),.agents/skills/impeccable/scripts/concept-seed.mjs,EXTRACTED,call
selectApprovedChallengers(),.agents/skills/impeccable/scripts/concept-seed.mjs,calls,deterministicRank(),.agents/skills/impeccable/scripts/lib/concept-catalog.mjs,EXTRACTED,call
selectApprovedChallengers(),.agents/skills/impeccable/scripts/concept-seed.mjs,calls,approvedPoolRevision(),.agents/skills/impeccable/scripts/lib/concept-catalog.mjs,EXTRACTED,call
selectApprovedStaging(),.agents/skills/impeccable/scripts/concept-seed.mjs,calls,selectApprovedStagings(),.agents/skills/impeccable/scripts/concept-seed.mjs,EXTRACTED,call
selectApprovedStagings(),.agents/skills/impeccable/scripts/concept-seed.mjs,calls,requireLocalConcepts(),.agents/skills/impeccable/scripts/concept-seed.mjs,EXTRACTED,call
selectApprovedStagings(),.agents/skills/impeccable/scripts/concept-seed.mjs,calls,deterministicRank(),.agents/skills/impeccable/scripts/lib/concept-catalog.mjs,EXTRACTED,call
appendDetectorFallback(),.agents/skills/impeccable/scripts/context.mjs,calls,automaticHookMode(),.agents/skills/impeccable/scripts/context.mjs,EXTRACTED,call
appendStalenessDirective(),.agents/skills/impeccable/scripts/context.mjs,calls,stalenessCheckDisabled(),.agents/skills/impeccable/scripts/lib/staleness-notice.mjs,EXTRACTED,call
appendStalenessDirective(),.agents/skills/impeccable/scripts/context.mjs,calls,collectBootFindings(),.agents/skills/impeccable/scripts/lib/staleness.mjs,EXTRACTED,call
appendStalenessDirective(),.agents/skills/impeccable/scripts/context.mjs,calls,designSidecarCandidatesFor(),.agents/skills/impeccable/scripts/lib/staleness.mjs,EXTRACTED,call
appendStalenessDirective(),.agents/skills/impeccable/scripts/context.mjs,calls,projectRootsDiagnostic(),.agents/skills/impeccable/scripts/context.mjs,EXTRACTED,call
appendStalenessDirective(),.agents/skills/impeccable/scripts/context.mjs,calls,filterFreshFindings(),.agents/skills/impeccable/scripts/lib/staleness-notice.mjs,EXTRACTED,call
appendStalenessDirective(),.agents/skills/impeccable/scripts/context.mjs,calls,buildStalenessDirective(),.agents/skills/impeccable/scripts/lib/staleness-notice.mjs,EXTRACTED,call
automaticHookMode(),.agents/skills/impeccable/scripts/context.mjs,calls,hookEnabledAt(),.agents/skills/impeccable/scripts/context.mjs,EXTRACTED,call
automaticHookMode(),.agents/skills/impeccable/scripts/context.mjs,calls,readJson(),.agents/skills/impeccable/scripts/context.mjs,EXTRACTED,call
automaticHookMode(),.agents/skills/impeccable/scripts/context.mjs,calls,valueHasHookMarker(),.agents/skills/impeccable/scripts/context.mjs,EXTRACTED,call
buildResolvedContextDirective(),.agents/skills/impeccable/scripts/context.mjs,calls,hasTargetOption(),.agents/skills/impeccable/scripts/context.mjs,EXTRACTED,call
cli(),.agents/skills/impeccable/scripts/context.mjs,calls,parseCliOptions(),.agents/skills/impeccable/scripts/context.mjs,EXTRACTED,call
cli(),.agents/skills/impeccable/scripts/context.mjs,calls,hasTargetOption(),.agents/skills/impeccable/scripts/context.mjs,EXTRACTED,call
cli(),.agents/skills/impeccable/scripts/context.mjs,calls,pathExistsForTarget(),.agents/skills/impeccable/scripts/context.mjs,EXTRACTED,call
