id,label,file_type,source_file,source_location,community,community_name
frontend_linux_runner_my_application_myapplication,_MyApplication,code,frontend/linux/runner/my_application.cc,L10,124,my_application.cc
frontend_windows_runner_flutter_window_flutterwindow,FlutterWindow,code,frontend/windows/runner/flutter_window.h,L12,140,Win32Window
frontend_windows_runner_win32_window_win32window,Win32Window,code,frontend/windows/runner/win32_window.h,L13,140,Win32Window
agents_skills_impeccable_scripts_lib_target_args_targetargerror,TargetArgError,code,.agents/skills/impeccable/scripts/lib/target-args.mjs,L1,147,.agents/skills/impeccable/scripts/live.mjs
claude_skills_impeccable_scripts_lib_target_args_targetargerror,TargetArgError,code,.claude/skills/impeccable/scripts/lib/target-args.mjs,L1,151,.claude/skills/impeccable/scripts/live.mjs
frontend_windows_runner_win32_window_windowclassregistrar,WindowClassRegistrar,code,frontend/windows/runner/win32_window.cpp,L59,158,win32_window.cpp
frontend_macos_runner_mainflutterwindow_mainflutterwindow,MainFlutterWindow,code,frontend/macos/Runner/MainFlutterWindow.swift,L4,165,GeneratedPluginRegistrant.swift
agents_skills_impeccable_scripts_detector_engines_static_html_css_cascade_staticelement,StaticElement,code,.agents/skills/impeccable/scripts/detector/engines/static-html/css-cascade.mjs,L764,187,StaticElement
frontend_ios_runner_appdelegate_appdelegate,AppDelegate,code,frontend/ios/Runner/AppDelegate.swift,L4,189,AppDelegate
frontend_macos_runner_appdelegate_appdelegate,AppDelegate,code,frontend/macos/Runner/AppDelegate.swift,L4,189,AppDelegate
claude_skills_impeccable_scripts_detector_engines_static_html_css_cascade_staticelement,StaticElement,code,.claude/skills/impeccable/scripts/detector/engines/static-html/css-cascade.mjs,L764,190,StaticElement
frontend_ios_runner_scenedelegate_scenedelegate,SceneDelegate,code,frontend/ios/Runner/SceneDelegate.swift,L4,202,ios/RunnerTests/RunnerTests.swift
frontend_ios_runnertests_runnertests_runnertests,RunnerTests,code,frontend/ios/RunnerTests/RunnerTests.swift,L5,202,ios/RunnerTests/RunnerTests.swift
frontend_macos_runnertests_runnertests_runnertests,RunnerTests,code,frontend/macos/RunnerTests/RunnerTests.swift,L5,202,ios/RunnerTests/RunnerTests.swift
frontend_windows_runner_win32_window_point,Point,code,frontend/windows/runner/win32_window.h,L15,244,Point
frontend_windows_runner_win32_window_size,Size,code,frontend/windows/runner/win32_window.h,L21,245,Size
frontend_android_app_src_main_kotlin_com_lamazon_lamazon_mainactivity_mainactivity,MainActivity,code,frontend/android/app/src/main/kotlin/com/lamazon/lamazon/MainActivity.kt,L5,248,FlutterActivity
agents_skills_impeccable_scripts_detector_engines_static_html_css_cascade_staticdocument,StaticDocument,code,.agents/skills/impeccable/scripts/detector/engines/static-html/css-cascade.mjs,L842,48,.agents/skills/impeccable/scripts/detector/engines/static-html/css-cascade.mjs
claude_skills_impeccable_scripts_detector_engines_static_html_css_cascade_staticdocument,StaticDocument,code,.claude/skills/impeccable/scripts/detector/engines/static-html/css-cascade.mjs,L842,49,.claude/skills/impeccable/scripts/detector/engines/static-html/css-cascade.mjs
agents_skills_impeccable_scripts_live_browser_accepteddomalreadyclean,acceptedDomAlreadyClean(),code,.agents/skills/impeccable/scripts/live-browser.js,L7931,1,.agents/skills/impeccable/scripts/live-browser.js
agents_skills_impeccable_scripts_live_browser_addmanualcontexttext,addManualContextText(),code,.agents/skills/impeccable/scripts/live-browser.js,L1042,1,.agents/skills/impeccable/scripts/live-browser.js
agents_skills_impeccable_scripts_live_browser_applyglobalbarlabelstate,applyGlobalBarLabelState(),code,.agents/skills/impeccable/scripts/live-browser.js,L8742,1,.agents/skills/impeccable/scripts/live-browser.js
agents_skills_impeccable_scripts_live_browser_applyplaceholdersizingstyles,applyPlaceholderSizingStyles(),code,.agents/skills/impeccable/scripts/live-browser.js,L1829,1,.agents/skills/impeccable/scripts/live-browser.js
agents_skills_impeccable_scripts_live_browser_applysveltecomponentvariantstyle,applySvelteComponentVariantStyle(),code,.agents/skills/impeccable/scripts/live-browser.js,L5212,1,.agents/skills/impeccable/scripts/live-browser.js
